cif_empresa,nombre_cliente,latitud,longitud,direccion,contacto_telefono,contacto_email
B12345678,DB Schenker,43.269516,-8.411087,A Coruña,+34 612 345 678,info@dbschenker.com
A98765432,Lidl España S.A.,42.808841,-2.806054,Álava,+34 698 765 432,info@lidle.com
J34567890,Distribución 76 Campollano S.A,39.014444,-1.88264,Albacete,+34 612 987 654,info@distribucion76.com
G23456789,Frutas Tonet,38.34061,-0.539066,Alicante,+34 633 456 789,info@frutastonet.com
D87654321,Grupo Agroponiente,36.783819,-2.742398,Almería,+34 645 678 123,info@grupoagroponiente.com
F98765432,Ávila Market,40.664648,-4.682038,Ávila,+34 659 321 478,info@avilamarket.com
H12345678,Ulbasa,38.690981,-6.795618,Badajoz,+34 674 890 123,info@ulbasa.com
K76543210,Mercabarna,41.327635,2.115424,Barcelona,+34 688 234 567,info@mercabarna.es
C70723988,Mercabilbao S.A,43.232124,-2.888324,Bizkaia,+34 250 617 426,info@mercabilbao.com
C37487819,PepsiCo S.A,42.362387,-3.624425,Burgos,+34 791 282 271,info@pepsico.com
F34425120,Provecaex,39.449253,-6.381213,Cáceres,+34 767 655 250,info@provecaex.com
A69030156,B-Grup Cádiz,36.407357,-6.128702,Cádiz,+34 870 832 541,info@b-grupcádiz.com
H60877269,Mercasantander S.A,43.443127,-3.864163,Cantabria,+34 104 613 561,info@mercasantander.com
E68044155,Repredi S.L,39.97722,-0.008643,Castellón,+34 437 758 219,info@repredi.com
G56506922,Pernod Ricard,39.168104,-3.465384,Ciudad Real,+34 139 622 291,info@pernodricard.com
E42477092,Mercacórdoba S.A,37.875219,-4.763063,Córdoba,+34 218 752 936,info@mercacórdoba.com
L74463520,Distribución Alimentos Embutidos S.L,39.718055,-1.437577,Cuenca,+34 797 473 511,info@distribucionalimentosembutidos.com
B87766619,Karabeleko,43.264309,-1.972006,Gipuzkoa,+34 645 636 244,info@karabeleko.com
H18396758,Masgrau Alimentació,41.81271,-2.725645,Girona,+34 959 427 092,info@masgraualimentacio.com
G75834864,Mercagranada S.A,37.202971,-3.660833,Granada,+34 951 189 082,info@mercagranada.com
B21493152,Makro,40.620066,-3.28023,Guadalajara,+34 270 847 844,info@makro.com
F59700387,Cash Lepe,37.253795,-7.229716,Huelva,+34 685 944 481,info@cashlepe.com
