Camion|Accion|Pedidos|Destinos|Productos|Cantidad
1|Creado|{7545871: 459}|Salamanca|1|459
1|Modificado|{7545871: 459},{4595118: 454}|Salamanca,Huesca|1,1|913
1|Modificado|{7545871: 459},{4595118: 454},{5007723: 87}|Salamanca,Huesca,Pontevedra|1,1,1|1000
2|Creado|{5007723: 329}|Pontevedra|1|329
3|Creado|{1972162: 284}|Valencia|10|284
3|Modificado|{1972162: 284},{6893417: 315}|Valencia,Leiria|10,10|599
3|Modificado|{1972162: 284},{6893417: 315},{1747475: 303}|Valencia,Leiria,Oporto|10,10,10|902
3|Modificado|{1972162: 284},{6893417: 315},{1747475: 303},{9383569: 98}|Valencia,Leiria,Oporto,Tarragona|10,10,10,10|1000
4|Creado|{9383569: 302}|Tarragona|10|302
4|Modificado|{9383569: 302},{8402464: 295}|Tarragona,Valladolid|10,10|597
4|Modificado|{9383569: 302},{8402464: 295},{6717756: 403}|Tarragona,Valladolid,Lleida|10,10,10|1000
5|Creado|{6717756: 4}|Lleida|10|4
5|Modificado|{6717756: 4},{3510654: 377}|Lleida,La Massana|10,10|381
5|Modificado|{6717756: 4},{3510654: 377},{6801090: 342}|Lleida,La Massana,Canillo|10,10,10|723
6|Creado|{6154262: 525}|Almería|11|525
6|Modificado|{6154262: 525},{6301673: 444}|Almería,Faro|11,11|969
6|Modificado|{6154262: 525},{6301673: 444},{2116187: 31}|Almería,Faro,Badajoz|11,11,11|1000
7|Creado|{2116187: 288}|Badajoz|11|288
7|Modificado|{2116187: 288},{4743007: 366}|Badajoz,Ciudad Real|11,11|654
7|Modificado|{2116187: 288},{4743007: 366},{5843322: 346}|Badajoz,Ciudad Real,Valencia|11,11,11|1000
8|Creado|{5843322: 17}|Valencia|11|17
8|Modificado|{5843322: 17},{9049281: 264}|Valencia,Huesca|11,11|281
8|Modificado|{5843322: 17},{9049281: 264},{7632527: 397}|Valencia,Huesca,Ordino|11,11,11|678
9|Creado|{9431068: 261}|Faro|12|261
10|Creado|{6576371: 318}|Granada|13|318
10|Modificado|{6576371: 318},{7480577: 311}|Granada,Évora|13,13|629
10|Modificado|{6576371: 318},{7480577: 311},{3016017: 252}|Granada,Évora,Barcelona|13,13,13|881
10|Modificado|{6576371: 318},{7480577: 311},{3016017: 252},{2862217: 119}|Granada,Évora,Barcelona,Sant Julià de Lòria|13,13,13,13|1000
11|Creado|{2862217: 332}|Sant Julià de Lòria|13|332
11|Modificado|{2862217: 332},{6645964: 540}|Sant Julià de Lòria,Lugo|13,13|872
12|Creado|{9468916: 336}|Málaga|14|336
12|Modificado|{9468916: 336},{7814060: 355}|Málaga,Coimbra|14,14|691
12|Modificado|{9468916: 336},{7814060: 355},{9422435: 309}|Málaga,Coimbra,Viana do Castelo|14,14,14|1000
13|Creado|{9422435: 216}|Viana do Castelo|14|216
13|Modificado|{9422435: 216},{7100990: 437}|Viana do Castelo,Burgos|14,14|653
14|Creado|{4068785: 293}|Almería|15|293
14|Modificado|{4068785: 293},{7000222: 269}|Almería,Badajoz|15,15|562
14|Modificado|{4068785: 293},{7000222: 269},{3629401: 357}|Almería,Badajoz,Girona|15,15,15|919
14|Modificado|{4068785: 293},{7000222: 269},{3629401: 357},{9898204: 81}|Almería,Badajoz,Girona,Navarra|15,15,15,15|1000
15|Creado|{9898204: 209}|Navarra|15|209
15|Modificado|{9898204: 209},{9208111: 791}|Navarra,A Coruña|15,15|1000
16|Creado|{9208111: 168}|A Coruña|15|168
17|Creado|{5840135: 459}|Huelva|16|459
17|Modificado|{5840135: 459},{6030272: 408}|Huelva,Lisboa|16,16|867
17|Modificado|{5840135: 459},{6030272: 408},{6142535: 133}|Huelva,Lisboa,Valencia|16,16,16|1000
18|Creado|{6142535: 385}|Valencia|16|385
18|Modificado|{6142535: 385},{2486083: 542}|Valencia,Leiria|16,16|927
18|Modificado|{6142535: 385},{2486083: 542},{6702189: 73}|Valencia,Leiria,Girona|16,16,16|1000
19|Creado|{6702189: 279}|Girona|16|279
19|Modificado|{6702189: 279},{7072746: 523}|Girona,Escaldes-Engordany|16,16|802
19|Modificado|{6702189: 279},{7072746: 523},{8874392: 198}|Girona,Escaldes-Engordany,Bizkaia|16,16,16|1000
