id_pedido,cif_empresa,id_producto,nombre_producto,destino,provincia,cantidad,fecha_pedido,fecha_caducidad,fecha_entrega_estimada,estado,fecha_entregado
9565972,C37487819,6,Carne de ternera picada 500gr,"42.362387, -3.624425",Burgos,759,2024-12-16,2024-12-21,2024-12-18,En fabricación,
1476015,A98765432,7,Pechuga de pollo fresca 1kg,"42.808841, -2.806054",Álava,840,2024-12-16,2024-12-20,2024-12-17,En fabricación,
2285906,G23456789,6,Carne de ternera picada 500gr,"38.34061, -0.539066",Alicante,603,2024-12-16,2024-12-21,2024-12-18,En fabricación,
8482150,K19501659,2,Huevos frescos (4 unidades),"42.456239, 1.485435",La Massana,917,2024-12-16,2025-01-13,2025-01-10,En fabricación,
9868260,K76543210,3,Queso cheddar 200gr,"41.327635, 2.115424",Barcelona,807,2024-12-16,2024-12-30,2024-12-27,En fabricación,
7982310,H98721977,12,"Plátanos maduros (6 unidades, aprox. 1kg)","40.630214, -7.876921",Viseu,724,2024-12-16,2024-12-20,2024-12-17,En fabricación,
6171239,G75232708,5,Mantequilla 100gr,"40.96337, -5.734527",Salamanca,957,2024-12-16,2024-12-26,2024-12-23,En fabricación,
6490052,D64752757,11,"Manzanas rojas (6 unidades, aprox. 1kg)","42.468846, 1.493294",Sant Julià de Lòria,681,2024-12-16,2024-12-21,2024-12-18,En fabricación,
8759065,A51293743,6,Carne de ternera picada 500gr,"41.277143, -7.712157",Vila Real,627,2024-12-16,2024-12-21,2024-12-18,En fabricación,
8214467,G75232708,2,Huevos frescos (4 unidades),"40.96337, -5.734527",Salamanca,684,2024-12-16,2025-01-13,2025-01-10,En fabricación,
4568549,A51293743,1,Leche entera 500ml,"41.277143, -7.712157",Vila Real,927,2024-12-16,2024-12-22,2024-12-19,En fabricación,
6343685,D54661573,14,Espinacas frescas en bolsa 300gr,"41.541969, -4.663801",Valladolid,744,2024-12-16,2024-12-19,2024-12-16,En fabricación,
1560659,C37487819,14,Espinacas frescas en bolsa 300gr,"42.362387, -3.624425",Burgos,901,2024-12-16,2024-12-19,2024-12-16,En fabricación,
9544248,E37234925,10,Tocino ahumado en lonchas 200gr,"41.78641, -1.989204",Soria,636,2024-12-16,2024-12-26,2024-12-23,En fabricación,
3920315,K41092198,3,Queso cheddar 200gr,"41.788533, -6.779713",Braganza,885,2024-12-16,2024-12-30,2024-12-27,En fabricación,
3356159,A92333790,1,Leche entera 500ml,"42.483562, 1.490046",Andorra la Vella,741,2024-12-16,2024-12-22,2024-12-19,En fabricación,
3693703,L60867006,3,Queso cheddar 200gr,"38.007831, -7.855995",Beja,553,2024-12-16,2024-12-30,2024-12-27,En fabricación,
4154954,F34425120,2,Huevos frescos (4 unidades),"39.449253, -6.381213",Cáceres,794,2024-12-16,2025-01-13,2025-01-10,En fabricación,
9775169,B21493152,19,Patatas para cocinar (1kg),"40.620066, -3.28023",Guadalajara,607,2024-12-16,2024-12-24,2024-12-21,En fabricación,
6948437,E48367217,17,Cebollas amarillas (aprox. 1kg),"39.752122, -8.865028",Leiria,726,2024-12-16,2024-12-20,2024-12-17,En fabricación,
5014649,H19882206,3,Queso cheddar 200gr,"42.455927, -2.407701",Logroño,788,2024-12-16,2024-12-30,2024-12-27,En fabricación,
9396992,A43314608,2,Huevos frescos (4 unidades),"41.604913, 0.679305",Lleida,808,2024-12-16,2025-01-13,2025-01-10,En fabricación,
4773313,D23336156,12,"Plátanos maduros (6 unidades, aprox. 1kg)","39.806559, -7.528487",Castelo Branco,572,2024-12-16,2024-12-20,2024-12-17,En fabricación,
2502327,A92333790,1,Leche entera 500ml,"42.483562, 1.490046",Andorra la Vella,956,2024-12-16,2024-12-22,2024-12-19,En fabricación,
8532106,H19882206,13,Fresas frescas (caja de 250gr),"42.455927, -2.407701",Logroño,832,2024-12-16,2024-12-18,2024-12-15,En fabricación,
3643352,A46715217,14,Espinacas frescas en bolsa 300gr,"41.53178, -8.2422746",Braga,877,2024-12-16,2024-12-19,2024-12-16,En fabricación,
6915811,D54829731,10,Tocino ahumado en lonchas 200gr,"40.905792, -4.107008",Segovia,636,2024-12-16,2024-12-26,2024-12-23,En fabricación,
3984110,K76543210,16,Tomates maduros (aprox. 1kg),"41.327635, 2.115424",Barcelona,738,2024-12-16,2024-12-21,2024-12-18,En fabricación,
8221241,D54829731,20,Pan fresco de hogaza (500gr),"40.905792, -4.107008",Segovia,738,2024-12-16,2024-12-19,2024-12-16,En fabricación,
7346705,A43314608,13,Fresas frescas (caja de 250gr),"41.604913, 0.679305",Lleida,629,2024-12-16,2024-12-18,2024-12-15,En fabricación,
3573496,C65081215,10,Tocino ahumado en lonchas 200gr,"41.734671, -1.206108",Zaragoza,827,2024-12-16,2024-12-26,2024-12-23,En fabricación,
3738520,D87654321,14,Espinacas frescas en bolsa 300gr,"36.783819, -2.742398",Almería,889,2024-12-16,2024-12-19,2024-12-16,En fabricación,
1632029,F98765432,6,Carne de ternera picada 500gr,"40.664648, -4.682038",Ávila,946,2024-12-16,2024-12-21,2024-12-18,En fabricación,
3104963,F98765432,1,Leche entera 500ml,"40.664648, -4.682038",Ávila,926,2024-12-16,2024-12-22,2024-12-19,En fabricación,
7690539,H27063606,2,Huevos frescos (4 unidades),"38.697812, -9.192319",Lisboa,945,2024-12-16,2025-01-13,2025-01-10,En fabricación,
2605154,D54661573,8,Filetes de pescado blanco 500gr,"41.541969, -4.663801",Valladolid,981,2024-12-16,2024-12-22,2024-12-19,En fabricación,
6088578,D54829731,13,Fresas frescas (caja de 250gr),"40.905792, -4.107008",Segovia,950,2024-12-16,2024-12-18,2024-12-15,En fabricación,
9317543,H50034039,5,Mantequilla 100gr,"38.031997, -4.058837",Jaén,853,2024-12-16,2024-12-26,2024-12-23,En fabricación,
1659422,C23977041,17,Cebollas amarillas (aprox. 1kg),"41.519608, -5.736363",Zamora,931,2024-12-16,2024-12-20,2024-12-17,En fabricación,
9845667,F98765432,18,Zanahorias frescas (500gr),"40.664648, -4.682038",Ávila,914,2024-12-16,2024-12-19,2024-12-16,En fabricación,
3306536,B31135513,2,Huevos frescos (4 unidades),"37.932005, -1.195947",Murcia,897,2024-12-16,2025-01-13,2025-01-10,En fabricación,
6150161,H45378615,2,Huevos frescos (4 unidades),"39.514124, -0.476974",Valencia,975,2024-12-16,2025-01-13,2025-01-10,En fabricación,
3301515,H19882206,6,Carne de ternera picada 500gr,"42.455927, -2.407701",Logroño,611,2024-12-16,2024-12-21,2024-12-18,En fabricación,
9384405,E30624932,6,Carne de ternera picada 500gr,"39.268988, -7.43448",Portalegre,800,2024-12-16,2024-12-21,2024-12-18,En fabricación,
4591645,B31135513,15,Lechuga romana 1 unidad,"37.932005, -1.195947",Murcia,567,2024-12-16,2024-12-20,2024-12-17,En fabricación,
9309149,L21420173,3,Queso cheddar 200gr,"42.463523, 1.491706",Encamp,870,2024-12-16,2024-12-30,2024-12-27,En fabricación,
